Date,Value
2015-10-06,450433.222843
2015-10-05,447410.181079
2015-10-04,456479.306371
2015-10-03,459502.348135
2015-10-02,377880.220506
2015-10-01,465548.431663
2015-09-30,457184.327803
2015-09-29,510276.701354
2015-09-28,409991.106868
2015-09-27,424738.98841
2015-09-26,477831.361961
2015-09-25,427688.564719
2015-09-24,442436.446261
2015-09-23,471932.209345
2015-09-22,389344.072709
2015-09-21,353949.157009
2015-09-20,389344.072709
2015-09-19,424738.98841
2015-09-18,399224.588766
2015-09-17,421875.629263
2015-09-16,461514.950133
2015-09-15,450189.429885
2015-09-14,396393.208704
2015-09-13,385067.688455
2015-09-12,489828.750755
2015-09-11,478503.230506
2015-09-10,399224.588766
2015-09-09,393561.828641
2015-09-08,385067.688455
2015-09-07,450189.429885
2015-09-06,427538.389387
2015-09-05,430369.76945
2015-09-04,407263.870142
2015-09-03,415355.20531
2015-09-02,409960.981865
2015-09-01,428840.763924
2015-08-31,388384.088082
2015-08-30,445023.434261
2015-08-29,401869.646696
2015-08-28,401869.646696
2015-08-27,418052.317033
2015-08-26,372201.417746
2015-08-25,423446.540479
2015-08-24,369504.306023
2015-08-23,412658.093588
2015-08-22,403437.399844
2015-08-21,406057.123219
2015-08-20,398197.953092
2015-08-19,379859.889463
2015-08-18,377240.166087
2015-08-17,385099.336214
2015-08-16,385099.336214
2015-08-15,351042.932331
2015-08-14,351042.932331
2015-08-13,390338.782966
2015-08-12,322225.9752
2015-08-11,442733.250478
2015-08-10,458451.590731
2015-08-09,353662.655707
2015-08-08,411296.56997
2015-08-07,369025.145411
2015-08-06,363827.608152
2015-08-05,327444.847336
2015-08-04,374222.68267
2015-08-03,382018.988559
2015-08-02,408006.674856
2015-08-01,426198.055263
2015-07-31,361228.839522
2015-07-30,356031.302263
2015-07-29,387216.525818
2015-07-28,369025.145411
2015-07-27,402809.137596
2015-07-26,358630.070892
2015-07-25,397611.600337
2015-07-24,426555.350029
2015-07-23,378313.971157
2015-07-22,373235.931275
2015-07-21,355462.791691
2015-07-20,365618.871453
2015-07-19,363079.851513
2015-07-18,406243.190504
2015-07-17,365618.871453
2015-07-16,345306.711928
2015-07-15,391009.07086
2015-07-14,352923.77175
2015-07-13,368157.891394
2015-07-12,350384.751809
2015-07-11,356089.184959
2015-07-10,383102.847267
2015-07-09,338898.672582
2015-07-08,378191.272302
2015-07-07,363456.547407
2015-07-06,417483.872021
2015-07-05,356089.184959
2015-07-04,380647.059784
2015-07-03,397837.572161
2015-07-02,343810.247547
2015-07-01,356089.184959
2015-06-30,351177.609994
2015-06-29,336442.8851
2015-06-28,363122.622864
2015-06-27,316188.406303
2015-06-26,365592.844788
2015-06-25,395235.507879
2015-06-24,373003.51056
2015-06-23,353241.735167
2015-06-22,365592.844788
2015-06-21,301367.074757
2015-06-20,331009.737848
2015-06-19,397705.729803
2015-06-18,380414.176333
2015-06-17,350771.513242
2015-06-16,303837.296682
2015-06-15,370533.288636
2015-06-14,358182.179015
2015-06-13,373779.242434
2015-06-12,321734.031462
2015-06-11,366682.168211
2015-06-10,373779.242434
2015-06-09,383242.008065
2015-06-08,333562.488501
2015-06-07,395070.465104
2015-06-06,380876.316657
2015-06-05,335928.179909
2015-06-04,335928.179909
2015-06-03,335928.179909
2015-06-02,345390.94554
2015-06-01,332393.96907
2015-05-31,356656.302579
2015-05-30,300852.935509
2015-05-29,380918.636088
2015-05-28,320262.802316
2015-05-27,351803.835877
2015-05-26,327541.502369
2015-05-25,349377.602526
2015-05-24,342098.902474
2015-05-23,291148.002105
2015-05-22,344525.135825
2015-05-21,371213.702684
2015-05-20,344525.135825
2015-05-19,329967.735719
2015-05-18,332393.96907
2015-05-17,419738.369702
2015-05-16,303150.868677
2015-05-15,390780.416654
2015-05-14,331571.262615
2015-05-13,383675.318169
2015-05-12,374201.853523
2015-05-11,352886.558069
2015-05-10,305519.234838
2015-05-09,298414.136354
2015-05-08,350518.191907
2015-05-07,381306.952007
2015-05-06,338676.3611
2015-05-05,364728.388877
2015-05-04,312624.333323
2015-05-03,326609.291887
2015-05-02,347909.89788
2015-05-01,347909.89788
2015-04-30,314775.621891
2015-04-29,305308.685895
2015-04-28,371577.237872
2015-04-27,326609.291887
2015-04-26,352643.365878
2015-04-25,364477.035874
2015-04-24,284008.079902
2015-04-23,326609.291887
2015-04-22,338442.961883
2015-04-21,376310.70587
2015-04-20,408026.906612
