Date,Value
2016-05-19,1770178.4303
2016-05-18,1622904.53679
2016-05-17,1630979.37464
2016-05-16,1609202.06235
2016-05-15,1662212.65022
2016-05-14,1757652.48646
2016-05-13,1601340.81171
2016-05-12,1525359.47321
2016-05-11,1799145.83579
2016-05-10,2015490.71892
2016-05-09,1881265.30804
2016-05-08,1738667.632
2016-05-07,1887205.00671
2016-05-06,1769132.6279
2016-05-05,1900230.17376
2016-05-04,1722607.80088
2016-05-03,1762341.41699
2016-05-02,1766704.32031
2016-05-01,1650450.46585
2016-04-30,1824603.31899
2016-04-29,1552496.67705
2016-04-28,1463200.88494
2016-04-27,1924687.35344
2016-04-26,1492839.92841
2016-04-25,1531303.6199
2016-04-24,1639604.70135
2016-04-23,1618011.29057
2016-04-22,1721837.3624
2016-04-21,1843768.25482
2016-04-20,1629131.43
2016-04-19,1460870.32
2016-04-18,1642389.18
2016-04-17,1550671.73
2016-04-16,1574760.3
2016-04-15,1767502.96
2016-04-14,1685701.7
2016-04-13,1639676.5
2016-04-12,1607456.49
2016-04-11,1848004.29
2016-04-10,1707680.24
2016-04-09,1506409.6
2016-04-08,1558583.64
2016-04-07,1650251.71
2016-04-06,1591759.98
2016-04-05,1735875.57
2016-04-04,1554802.33
2016-04-03,1591174.42
2016-04-02,1444803.75
2016-04-01,1321282.86
2016-03-31,1660945.8
2016-03-30,1780614.0
2016-03-29,1519272.32
2016-03-28,1646594.4
2016-03-27,1541868.39
2016-03-26,1523337.52
2016-03-25,1588000.11
2016-03-24,1593071.4
2016-03-23,1565038.8
2016-03-22,1308642.12
2016-03-21,1563801.39
2016-03-20,1384278.67
2016-03-19,1427774.04
2016-03-18,1432167.44
2016-03-17,1787925.02
2016-03-16,1593584.76
2016-03-15,1593584.76
2016-03-14,1580232.02
2016-03-13,1362701.76
2016-03-12,1733741.52
2016-03-11,1692288.0
2016-03-10,1725518.7
2016-03-09,1399239.27
2016-03-08,1614392.86
2016-03-07,1437551.76
2016-03-06,1619238.0
2016-03-05,1604280.96
2016-03-04,1431631.68
2016-03-03,1720819.98
2016-03-02,1405736.85
2016-03-01,1495225.04
2016-02-29,1632881.49
2016-02-28,1431216.0
2016-02-27,1609521.62
2016-02-26,1547380.8
2016-02-25,1319648.9
2016-02-24,1427391.0
2016-02-23,1443980.5
2016-02-22,1386597.3
2016-02-21,1754843.64
2016-02-20,1471848.42
2016-02-19,1902961.74
2016-02-18,1481533.76
2016-02-17,1531594.54
2016-02-16,1505873.6
2016-02-15,1824390.92
2016-02-14,1500384.6
2016-02-13,1531180.44
2016-02-12,1824977.0
2016-02-11,1617865.62
2016-02-10,1589926.87
2016-02-09,1527627.0
2016-02-08,1714719.12
2016-02-07,1796933.68
2016-02-06,1755051.09
2016-02-05,1796689.96
2016-02-04,1620135.24
2016-02-03,1552556.36
2016-02-02,1655772.0
2016-02-01,1698131.16
2016-01-31,1689976.32
2016-01-30,1620331.7
2016-01-29,1434150.0
2016-01-28,1537171.65
2016-01-27,1634415.64
2016-01-26,1691196.21
2016-01-25,1694688.25
2016-01-24,1754466.0
2016-01-23,1610297.5
2016-01-22,1384752.0
2016-01-21,1509187.68
2016-01-20,1425654.9
2016-01-19,1700240.64
2016-01-18,1352544.05
2016-01-17,1300104.0
2016-01-16,1217938.2
2016-01-15,1439090.8
2016-01-14,1657710.63
2016-01-13,1980490.44
2016-01-12,1914972.13
2016-01-11,1909014.72
2016-01-10,1802400.6
2016-01-09,1971446.4
2016-01-08,1648782.14
2016-01-07,1477472.5
2016-01-06,1774245.2
2016-01-05,1906932.0
2016-01-04,1604631.24
2016-01-03,1498828.76
2016-01-02,1467328.02
2016-01-01,1557216.18
2015-12-31,1864368.0
2015-12-30,1652090.16
2015-12-29,1719238.9
2015-12-28,2050872.46
