Date,OFR FSI,Credit,Equity valuation,Safe assets,Funding,Volatility,United States,Other advanced economies,Emerging markets
2004-08-24,-2.546,-1.798,0.207,0.015,-0.208,-0.762,-0.454,-1.262,-0.83
2004-08-25,-2.631,-1.78,0.149,0.029,-0.209,-0.82,-0.513,-1.303,-0.815
2004-08-26,-2.665,-1.781,0.13,0.04,-0.214,-0.84,-0.513,-1.351,-0.801
2004-08-27,-2.824,-1.829,0.093,-0.025,-0.163,-0.9,-0.508,-1.491,-0.825
2004-08-30,-2.671,-1.811,0.127,0.014,-0.153,-0.848,-0.43,-1.439,-0.802
2004-08-31,-2.468,-1.761,0.145,0.086,-0.144,-0.794,-0.391,-1.3,-0.777
2004-09-01,-2.508,-1.753,0.118,0.094,-0.146,-0.821,-0.381,-1.377,-0.75
2004-09-02,-2.712,-1.783,0.063,0.061,-0.189,-0.864,-0.531,-1.409,-0.772
2004-09-03,-2.928,-1.868,0.081,-0.033,-0.248,-0.86,-0.689,-1.419,-0.82
2004-09-07,-3.025,-1.854,0.008,-0.019,-0.155,-1.005,-0.638,-1.546,-0.841
2004-09-08,-2.916,-1.832,0.028,0.028,-0.124,-1.016,-0.579,-1.516,-0.821
2004-09-09,-2.907,-1.853,0.052,0.012,-0.155,-0.963,-0.625,-1.452,-0.83
2004-09-10,-2.781,-1.804,0.038,0.056,-0.117,-0.954,-0.588,-1.403,-0.79
2004-09-13,-2.995,-1.848,-0.013,0.057,-0.146,-1.045,-0.666,-1.546,-0.783
2004-09-14,-3.034,-1.845,-0.02,0.071,-0.156,-1.084,-0.69,-1.547,-0.797
2004-09-15,-3.024,-1.888,0.029,0.011,-0.183,-0.993,-0.661,-1.529,-0.834
2004-09-16,-3.044,-1.866,0.012,0.03,-0.202,-1.018,-0.657,-1.563,-0.824
2004-09-17,-3.144,-1.923,-0.008,0.031,-0.202,-1.042,-0.71,-1.578,-0.856
2004-09-20,-3.129,-1.897,0.017,0.015,-0.216,-1.048,-0.679,-1.604,-0.846
2004-09-21,-3.135,-1.902,-0.017,0.115,-0.218,-1.113,-0.74,-1.561,-0.834
2004-09-22,-3.031,-1.891,0.055,0.07,-0.201,-1.064,-0.623,-1.581,-0.827
2004-09-23,-2.93,-1.907,0.088,0.08,-0.172,-1.019,-0.569,-1.519,-0.842
2004-09-24,-3.064,-1.871,0.095,0.064,-0.241,-1.111,-0.674,-1.585,-0.805
2004-09-27,-2.843,-1.798,0.141,0.068,-0.199,-1.055,-0.579,-1.502,-0.762
2004-09-28,-2.88,-1.803,0.115,0.096,-0.21,-1.078,-0.609,-1.523,-0.748
2004-09-29,-2.954,-1.849,0.095,0.097,-0.181,-1.116,-0.624,-1.549,-0.781
2004-09-30,-2.667,-1.884,0.282,0.178,-0.144,-1.099,-0.457,-1.432,-0.778
2004-10-01,-2.858,-1.883,0.14,0.157,-0.088,-1.184,-0.498,-1.554,-0.806
2004-10-04,-3.055,-1.901,0.066,0.058,-0.102,-1.176,-0.536,-1.685,-0.834
2004-10-05,-3.064,-1.936,0.065,0.095,-0.081,-1.207,-0.489,-1.715,-0.86
2004-10-06,-3.238,-1.955,0.028,0.067,-0.104,-1.274,-0.62,-1.745,-0.873
2004-10-07,-3.098,-1.964,0.068,0.068,-0.131,-1.139,-0.516,-1.711,-0.871
2004-10-08,-2.923,-1.927,0.104,0.177,-0.122,-1.155,-0.479,-1.586,-0.858
2004-10-11,-3.038,-1.946,0.097,0.171,-0.154,-1.206,-0.536,-1.636,-0.866
2004-10-12,-3.058,-1.939,0.147,0.103,-0.144,-1.225,-0.568,-1.596,-0.894
2004-10-13,-2.93,-1.928,0.168,0.124,-0.099,-1.195,-0.476,-1.584,-0.87
2004-10-14,-2.677,-1.872,0.238,0.159,-0.099,-1.103,-0.391,-1.449,-0.837
2004-10-15,-2.74,-1.885,0.231,0.207,-0.143,-1.15,-0.481,-1.419,-0.84
2004-10-18,-2.731,-1.884,0.219,0.199,-0.1,-1.165,-0.489,-1.385,-0.857
2004-10-19,-2.798,-1.872,0.215,0.234,-0.159,-1.216,-0.497,-1.453,-0.848
2004-10-20,-2.512,-1.787,0.261,0.295,-0.113,-1.168,-0.395,-1.324,-0.793
2004-10-21,-2.609,-1.823,0.251,0.313,-0.153,-1.197,-0.474,-1.312,-0.823
2004-10-22,-2.585,-1.831,0.27,0.338,-0.117,-1.245,-0.394,-1.354,-0.837
2004-10-25,-2.14,-1.809,0.34,0.426,-0.088,-1.009,-0.271,-1.067,-0.802
2004-10-26,-2.275,-1.825,0.278,0.392,-0.081,-1.039,-0.324,-1.138,-0.813
2004-10-27,-2.441,-1.905,0.193,0.35,-0.065,-1.014,-0.392,-1.191,-0.858
2004-10-28,-2.481,-1.954,0.151,0.373,-0.066,-0.985,-0.407,-1.213,-0.861
2004-10-29,-2.321,-1.945,0.159,0.425,-0.022,-0.938,-0.346,-1.119,-0.856
2004-11-01,-2.354,-1.949,0.149,0.378,-0.032,-0.9,-0.351,-1.116,-0.887
2004-11-02,-2.434,-1.987,0.105,0.34,0.013,-0.905,-0.348,-1.184,-0.902
2004-11-03,-2.628,-2.0,0.057,0.408,-0.084,-1.009,-0.488,-1.241,-0.899
2004-11-04,-2.697,-2.034,0.0,0.441,-0.079,-1.025,-0.572,-1.194,-0.931
2004-11-05,-2.934,-2.15,-0.043,0.5,-0.161,-1.08,-0.708,-1.254,-0.972
2004-11-08,-2.857,-2.121,-0.024,0.474,-0.125,-1.061,-0.637,-1.258,-0.962
2004-11-09,-2.874,-2.128,-0.02,0.474,-0.087,-1.113,-0.616,-1.295,-0.963
2004-11-10,-3.052,-2.176,-0.028,0.451,-0.159,-1.14,-0.733,-1.329,-0.99
2004-11-11,-3.04,-2.151,-0.057,0.467,-0.092,-1.207,-0.693,-1.364,-0.983
2004-11-12,-3.066,-2.135,-0.121,0.523,-0.143,-1.19,-0.748,-1.35,-0.968
2004-11-15,-3.099,-2.183,-0.137,0.487,-0.097,-1.169,-0.697,-1.413,-0.989
2004-11-16,-3.027,-2.19,-0.09,0.508,-0.102,-1.153,-0.676,-1.357,-0.994
2004-11-17,-2.903,-2.19,-0.127,0.597,-0.052,-1.131,-0.589,-1.337,-0.977
2004-11-18,-3.022,-2.23,-0.126,0.55,-0.142,-1.074,-0.704,-1.31,-1.008
2004-11-19,-2.897,-2.253,-0.07,0.607,-0.152,-1.029,-0.656,-1.234,-1.007
2004-11-22,-2.759,-2.184,-0.041,0.613,-0.128,-1.019,-0.656,-1.14,-0.963
2004-11-23,-2.78,-2.212,-0.045,0.617,-0.089,-1.051,-0.678,-1.118,-0.984
2004-11-24,-2.836,-2.239,-0.061,0.679,-0.185,-1.03,-0.736,-1.112,-0.988
2004-11-26,-2.721,-2.234,-0.069,0.714,-0.103,-1.029,-0.645,-1.094,-0.982
2004-11-29,-2.723,-2.26,-0.078,0.7,-0.121,-0.964,-0.64,-1.111,-0.972
2004-11-30,-2.585,-2.211,-0.042,0.662,-0.054,-0.94,-0.555,-1.054,-0.976
2004-12-01,-2.605,-2.209,-0.097,0.688,-0.017,-0.97,-0.567,-1.083,-0.955
2004-12-02,-2.74,-2.272,-0.129,0.61,-0.067,-0.882,-0.623,-1.13,-0.987
2004-12-03,-2.56,-2.198,-0.139,0.735,0.008,-0.966,-0.582,-1.033,-0.945
2004-12-06,-2.662,-2.205,-0.114,0.669,-0.056,-0.956,-0.642,-1.063,-0.957
2004-12-07,-2.636,-2.208,-0.067,0.657,-0.054,-0.964,-0.62,-1.063,-0.953
2004-12-08,-2.72,-2.163,-0.086,0.563,-0.075,-0.959,-0.68,-1.111,-0.929
2004-12-09,-2.796,-2.176,-0.063,0.526,-0.115,-0.968,-0.77,-1.083,-0.943
2004-12-10,-2.804,-2.161,-0.065,0.461,-0.093,-0.946,-0.765,-1.108,-0.931
2004-12-13,-2.825,-2.154,-0.118,0.516,-0.069,-1.0,-0.77,-1.138,-0.917
2004-12-14,-2.865,-2.157,-0.156,0.485,-0.048,-0.989,-0.774,-1.167,-0.924
2004-12-15,-2.817,-2.159,-0.168,0.569,-0.098,-0.961,-0.793,-1.101,-0.923
