"time","timeDate","close","high","low","open","volumefrom","volumeto"
1492473600000,"2017-04-18",69.71,72.5,69.29,69.66,11106.63,813597.02
1492560000000,"2017-04-19",70,72.04,69.4,69.71,8154.75,605517.37
1492646400000,"2017-04-20",65.96,70.5,65.63,70,8027.96,572633.56
1492732800000,"2017-04-21",68.83,70.17,65.96,65.96,8159.67,586508.16
1492819200000,"2017-04-22",68,69.67,67.21,68.83,3904.74,286103.73
1492905600000,"2017-04-23",68.53,69.15,66.89,68,4484.33,328365.21
1492992000000,"2017-04-24",67.58,69.64,66.88,68.53,3226.53,236019.3
1493078400000,"2017-04-25",69.9,70,67.58,67.58,3333.84,247474.17
1493164800000,"2017-04-26",72.5,75.89,69.08,69.9,17774.77,1390329.05
1493251200000,"2017-04-27",78.4,81,71.67,72.5,10143.53,832295.97
1493337600000,"2017-04-28",85,88.66,77.05,78.4,12067.43,1050311.92
1493424000000,"2017-04-29",96,98.6,83.21,85,13405.36,1318842.88
1493510400000,"2017-04-30",92.72,100.72,86.66,96,18888.78,1918476.12
1493596800000,"2017-05-01",87.06,108,76,92.72,31757.61,3165721.12
1493683200000,"2017-05-02",93.5,95.9,86.31,87.06,18718.79,1854539.32
1493769600000,"2017-05-03",92.93,95,86,93.5,19842.63,1913614.83
1493856000000,"2017-05-04",98.75,103.68,90.01,92.93,16888.04,1740190.77
1493942400000,"2017-05-05",100.25,113.5,97.05,98.75,17384.68,1867859.4
1494028800000,"2017-05-06",105.32,109,100.25,100.25,9936.23,1064268.16
1494115200000,"2017-05-07",95,107.09,90,105.32,12068.1,1276417.27
1494201600000,"2017-05-08",103.25,108.5,95,95,11139.35,1201683.27
1494288000000,"2017-05-09",94.39,103.97,85.01,103.25,18187.62,1762434.24
1494374400000,"2017-05-10",96.89,102,92,94.39,9315.16,917972.74
1494460800000,"2017-05-11",93.52,99.71,92,96.89,7253.29,707556.23
1494547200000,"2017-05-12",96.52,101.8,93.49,93.52,7266.33,725672.33
1494633600000,"2017-05-13",95.75,99,93,96.52,3900.21,376677.32
1494720000000,"2017-05-14",95.95,98,93,95.75,4048.49,393071.71
1494806400000,"2017-05-15",94,97.96,92.66,95.95,3959.83,381016.44
1494892800000,"2017-05-16",91.32,95.2,90,94,3244.94,302422.2
1494979200000,"2017-05-17",92.97,95.65,86,91.32,4128.21,375871.43
1495065600000,"2017-05-18",94.27,95.9,87.18,92.97,6967.09,648057.83
1495152000000,"2017-05-19",103.82,107.41,94.27,94.27,11949.62,1232785.07
1495238400000,"2017-05-20",104.85,108.86,103.57,103.82,5245.49,558045.19
1495324800000,"2017-05-21",118.34,122.23,103.13,104.85,12787.22,1437479.54
1495411200000,"2017-05-22",198.77,300,99.99,118.34,55306.4,11126473.1
1495497600000,"2017-05-23",231.79,298.8,188.11,198.77,30883.42,7595502.87
1495584000000,"2017-05-24",232.2,284.9,225,231.79,21958.05,5518680.42
1495670400000,"2017-05-25",216.74,271.95,192.28,232.2,27327.15,6123257.88
1495756800000,"2017-05-26",200,249.81,156.68,216.74,23700.85,4824296.5
1495843200000,"2017-05-27",180.99,205.06,131.27,200,31236.82,5186057.94
1495929600000,"2017-05-28",190.42,211,177.91,180.99,15982.22,3008300.29
1496016000000,"2017-05-29",201.96,209.93,182,190.42,13900.93,2683580.76
1496102400000,"2017-05-30",223.73,249,201.11,201.96,20651.36,4610516.46
1496188800000,"2017-05-31",231.36,249,223.73,223.73,12926.95,2955256.75
1496275200000,"2017-06-01",245.73,269,228,231.36,13107.1,3166940.29
1496361600000,"2017-06-02",237.83,258,237.71,245.73,7571.59,1806440.98
1496448000000,"2017-06-03",225.94,244.66,220.13,237.83,7083.74,1602345.34
1496534400000,"2017-06-04",238.87,242.93,219.83,225.94,5204.78,1206565.51
1496620800000,"2017-06-05",246.46,273.1,231.95,238.87,15907.78,3973251.86
1496707200000,"2017-06-06",256.8,298.01,240.82,246.46,15679.89,3933026.96
1496793600000,"2017-06-07",264.69,325.92,253.58,256.8,28258.09,7924436.61
1496880000000,"2017-06-08",270.26,289.91,259.9,264.69,12401.96,3372054.75
1496966400000,"2017-06-09",279.03,292.56,253.44,270.26,7114.22,1951559.68
1497052800000,"2017-06-10",321.01,322.51,275.92,279.03,15234.11,4522185.98
1497139200000,"2017-06-11",324.01,339.57,299.63,321.01,14589.8,4637454.43
1497225600000,"2017-06-12",301.93,336.74,250.99,324.01,26150.32,7871479.61
1497312000000,"2017-06-13",364.42,380.54,301.18,301.93,18402.54,6172146.18
1497398400000,"2017-06-14",381.92,453.05,324.5,364.42,38060.77,14912336.13
1497484800000,"2017-06-15",394.77,409.47,275.82,381.92,44899.1,15027992.3
1497571200000,"2017-06-16",381.03,404.77,359.61,394.77,22099.63,8306660.92
