"time","timeDate","close","high","low","open","volumefrom","volumeto"
1513900800000,"2017-12-22",0.6583,0.8184,0.46,0.8002,144855,90912.8
1513987200000,"2017-12-23",0.7698,0.8278,0.6368,0.6626,110763,81525.77
1514073600000,"2017-12-24",0.7765,0.7798,0.6211,0.7698,97221,69660.03
1514160000000,"2017-12-25",0.8747,0.9327,0.7345,0.7722,349619,301287.41
1514246400000,"2017-12-26",0.8692,0.92,0.7947,0.8832,136478,117265.42
1514332800000,"2017-12-27",0.9254,1.07,0.8479,0.8692,165394,151382.27
1514419200000,"2017-12-28",0.9152,0.95,0.8031,0.9234,140017,123006.41
1514505600000,"2017-12-29",0.8652,0.9323,0.8206,0.9152,76363,67137.14
1514592000000,"2017-12-30",0.7525,0.8681,0.7411,0.8656,77004,61632.67
1514678400000,"2017-12-31",0.905,0.9326,0.7398,0.7632,90247,75496.28
1514764800000,"2018-01-01",1.07,1.15,0.8805,0.9066,97700,99714.06
1514851200000,"2018-01-02",1.09,1.19,0.9955,1.04,114193,125130.02
1514937600000,"2018-01-03",1.16,1.18,1.06,1.09,58778,65452.32
1515024000000,"2018-01-04",1.06,1.18,0.9686,1.16,71402,75406.56
1515110400000,"2018-01-05",1.04,1.13,0.9416,1.06,94186,95803.32
1515196800000,"2018-01-06",1.01,1.08,0.9718,1.04,126122,129783.74
1515283200000,"2018-01-07",1.13,1.15,0.9454,1.01,110376,116128.07
1515369600000,"2018-01-08",1.02,1.13,0.8669,1.13,117231,116252.82
1515456000000,"2018-01-09",1.08,1.2,0.8272,1.02,245851,246386.14
1515542400000,"2018-01-10",1.03,1.16,0.9291,1.08,108895,110948.64
1515628800000,"2018-01-11",0.7941,1.04,0.7908,1.03,136224,121412.8
1515715200000,"2018-01-12",0.8979,0.9928,0.7526,0.7868,110177,93067.62
1515801600000,"2018-01-13",1.03,1.06,0.7819,0.8968,109495,103650.32
1515888000000,"2018-01-14",0.921,1.05,0.8316,1.03,85480,78805.66
1515974400000,"2018-01-15",0.9669,0.9984,0.8858,0.9197,66337,61717.39
1516060800000,"2018-01-16",0.6403,0.9715,0.5261,0.9644,105143,79585.36
1516147200000,"2018-01-17",0.6656,0.7224,0.5364,0.6463,94259,58804.58
1516233600000,"2018-01-18",0.6407,0.7267,0.5297,0.6656,147582,94670.53
1516320000000,"2018-01-19",0.6897,0.7308,0.6267,0.6421,77449,52885.63
1516406400000,"2018-01-20",0.7419,0.8051,0.6851,0.6876,83688,62384.06
1516492800000,"2018-01-21",0.6715,0.7465,0.6394,0.7425,79321,53812.41
1516579200000,"2018-01-22",0.7117,0.7299,0.6216,0.6693,119084,79820.78
1516665600000,"2018-01-23",0.6593,0.7497,0.6169,0.7099,105230,70631.72
1516752000000,"2018-01-24",0.662,0.6847,0.6315,0.6608,109387,71841.63
1516838400000,"2018-01-25",0.6283,0.6935,0.5887,0.6636,43636,28322.29
1516924800000,"2018-01-26",0.6477,0.6645,0.5892,0.6264,81851,51685.36
1517011200000,"2018-01-27",0.6913,0.7034,0.626,0.652,79021,52335.09
1517097600000,"2018-01-28",0.6997,0.72,0.6676,0.6946,88335,61472.24
1517184000000,"2018-01-29",0.6551,0.7174,0.65,0.6992,82400,55809.55
1517270400000,"2018-01-30",0.5799,0.6592,0.5659,0.6556,95017,59245.13
1517356800000,"2018-01-31",0.5885,0.6066,0.5453,0.5855,94357,54193.34
1517443200000,"2018-02-01",0.4827,0.59,0.4598,0.5862,105131,54171.15
1517529600000,"2018-02-02",0.4363,0.4858,0.3407,0.4833,122099,50801.14
1517616000000,"2018-02-03",0.4785,0.4939,0.3981,0.4393,91207,41009.66
1517702400000,"2018-02-04",0.3931,0.4933,0.3708,0.4784,113715,49533.27
1517788800000,"2018-02-05",0.3387,0.4056,0.3206,0.4006,141110,50759.06
1517875200000,"2018-02-06",0.3855,0.3983,0.2786,0.3355,130084,43285.95
1517961600000,"2018-02-07",0.3915,0.4594,0.3553,0.3917,108041,43844.07
1518048000000,"2018-02-08",0.4141,0.4421,0.3864,0.3915,104805,43798.88
1518134400000,"2018-02-09",0.4403,0.4478,0.3815,0.4138,101190,41656.37
1518220800000,"2018-02-10",0.4134,0.4768,0.3885,0.4419,103577,45163.45
1518307200000,"2018-02-11",0.3962,0.4202,0.3656,0.4106,85425,33867.65
1518393600000,"2018-02-12",0.4372,0.4602,0.396,0.396,94968,41363.41
1518480000000,"2018-02-13",0.4092,0.4395,0.4054,0.4372,100292,42371.48
1518566400000,"2018-02-14",0.4826,0.4848,0.4072,0.4103,103525,45296.35
1518652800000,"2018-02-15",0.5089,0.5095,0.4585,0.4826,96809,46718.44
1518739200000,"2018-02-16",0.4885,0.5223,0.4674,0.5053,105855,51936
1518825600000,"2018-02-17",0.5235,0.5343,0.4782,0.4885,75836,38633.14
1518912000000,"2018-02-18",0.4469,0.5373,0.3799,0.5235,453116,196749.62
